"state","race","mean_age","total","POPESTIMATE2014","POPEST18PLUS2014","pctg","region"
"Alabama","B",30,4,4849377,3741806,8.24848222771709e-05,"South"
"Alabama","W",28,3,4849377,3741806,6.18636167078782e-05,"South"
"Alabama",NA,46,11,4849377,3741806,0.00022683326126222,"South"
"Alaska","W",64,2,736732,550189,0.000271469136673852,"West"
"Alaska",NA,23,1,736732,550189,0.000135734568336926,"West"
"Arizona","B",50,3,6731484,5109792,4.45666958429969e-05,"West"
"Arizona","L",26,8,6731484,5109792,0.000118844522247992,"West"
"Arizona","W",34,7,6731484,5109792,0.000103988956966993,"West"
"Arizona",NA,39,27,6731484,5109792,0.000401100262586972,"West"
"Arkansas","W",23,1,2966369,2259350,3.37112476566469e-05,"South"
"Arkansas",NA,38,5,2966369,2259350,0.000168556238283234,"South"
"California","B",30,8,38802500,29649348,2.06172282713743e-05,"West"
"California","I",20,2,38802500,29649348,5.15430706784357e-06,"West"
"California","L",35,16,38802500,29649348,4.12344565427485e-05,"West"
"California","O",28,2,38802500,29649348,5.15430706784357e-06,"West"
"California","W",35,12,38802500,29649348,3.09258424070614e-05,"West"
"California",NA,37,124,38802500,29649348,0.000319567038206301,"West"
"Colorado","L",22,2,5355866,4109494,3.73422337302688e-05,"West"
"Colorado","W",34,3,5355866,4109494,5.60133505954032e-05,"West"
"Colorado",NA,31,16,5355866,4109494,0.000298737869842151,"West"
"Connecticut","B",31,1,3596677,2821247,2.78034418992865e-05,"Northeast"
"Connecticut",NA,28,3,3596677,2821247,8.34103256978594e-05,"Northeast"
"Delaware","W",50,2,935614,731367,0.00021376336822664,"South"
"Delaware",NA,35,2,935614,731367,0.00021376336822664,"South"
"Florida","B",35,16,19893297,15839713,8.04291013199069e-05,"South"
"Florida","L",29,4,19893297,15839713,2.01072753299767e-05,"South"
"Florida","W",38,23,19893297,15839713,0.000115616833147366,"South"
"Florida",NA,40,45,19893297,15839713,0.000226206847462238,"South"
"Georgia","B",24,7,10097343,7604061,6.93251680169724e-05,"South"
"Georgia","W",41,4,10097343,7604061,3.96143817239842e-05,"South"
"Georgia",NA,38,17,10097343,7604061,0.000168361122326933,"South"
"Hawaii","W",44,1,1419561,1111117,7.04443134180215e-05,"West"
"Hawaii",NA,52,2,1419561,1111117,0.000140888626836043,"West"
"Idaho","W",26,1,1634464,1203384,6.11821367738904e-05,"West"
"Idaho",NA,29,3,1634464,1203384,0.000183546410321671,"West"
"Illinois","B",30,8,12880580,9892106,6.21090044081866e-05,"North Central"
"Illinois","L",20,1,12880580,9892106,7.76362555102332e-06,"North Central"
"Illinois","O",40,1,12880580,9892106,7.76362555102332e-06,"North Central"
"Illinois","W",31,1,12880580,9892106,7.76362555102332e-06,"North Central"
"Illinois",NA,35,23,12880580,9892106,0.000178563387673536,"North Central"
"Indiana","B",36,1,6596855,5014928,1.51587385200978e-05,"North Central"
"Indiana","W",46,4,6596855,5014928,6.06349540803913e-05,"North Central"
"Indiana",NA,35,6,6596855,5014928,9.0952431120587e-05,"North Central"
"Iowa","W",46,4,3107126,2381172,0.000128736330615495,"North Central"
"Iowa",NA,26,2,3107126,2381172,6.43681653077474e-05,"North Central"
"Kansas","B",26,1,2904021,2181355,3.44350126944674e-05,"North Central"
